Date,Profit,,
1/2/2016,4809.421,,
1/3/2016,10620.582,,
1/4/2016,428.591,,
1/5/2016,745.359,,
1/6/2016,2336.981,,
1/7/2016,1254.602,,
1/8/2016,2257.637,,
1/9/2016,6684.57,,
1/10/2016,7112.422,,
1/11/2016,842.849,,
1/12/2016,1306.528,,
1/13/2016,660.116,,
1/14/2016,1090.725,,
1/15/2016,1122.692,,
1/16/2016,3109.709,,
1/17/2016,4011.775,,
1/18/2016,1130.525,,
1/19/2016,321.785,,
1/20/2016,544.01,,
1/21/2016,1165.622,,
1/22/2016,1185.985,,
1/23/2016,3979.174,,
1/24/2016,3304.222,,
1/25/2016,1035.145,,
1/26/2016,884.586,,
1/27/2016,633.215,,
1/28/2016,670.781,,
1/29/2016,397.66,,
1/30/2016,6140.855,,
1/31/2016,4164.739,,
2/1/2016,253.306,,
2/2/2016,1263.378,,
2/3/2016,1087.8,,
2/4/2016,1491.151,,
2/5/2016,1475.638,,
2/6/2016,6844.578,,
2/7/2016,8510.257,,
2/8/2016,1244.574,,
2/9/2016,1306.451,,
2/10/2016,1043.131,,
2/11/2016,1883.37,,
2/12/2016,1767.415,,
2/13/2016,7733.495,,
2/14/2016,6086.325,,
2/15/2016,1135.416,,
2/16/2016,464.347,,
2/17/2016,1697.385,,
2/18/2016,1891.252,,
2/19/2016,1676.95,,
2/20/2016,7391.201,,
2/21/2016,6087.144,,
2/22/2016,2227.648,,
2/23/2016,1436.893,,
2/24/2016,1336.707,,
2/25/2016,2042.065,,
2/26/2016,1425.311,,
2/27/2016,7456.954,,
2/28/2016,7642.344,,
2/29/2016,1573.058,,
3/1/2016,1162.056,,
3/2/2016,1418.47,,
3/3/2016,2137.23,,
3/4/2016,1840.506,,
3/5/2016,6519.066,,
3/6/2016,6760.426,,
3/7/2016,945.947,,
3/8/2016,934.603,,
3/9/2016,929.752,,
3/10/2016,1241.725,,
3/11/2016,1189.085,,
3/12/2016,5340.639,,
3/13/2016,6090.681,,
3/14/2016,1426.564,,
3/15/2016,1245.316,,
3/16/2016,1157.762,,
3/17/2016,1399.444,,
3/18/2016,2082.658,,
3/19/2016,8224.357,,
3/20/2016,5699.149,,
3/21/2016,2088.081,,
3/22/2016,1635.096,,
3/23/2016,1590.448,,
3/24/2016,2916.788,,
3/25/2016,2263.825,,
3/26/2016,8086.034,,
3/27/2016,6091.077,,
3/28/2016,755.125,,
3/29/2016,1818.783,,
3/30/2016,1805.716,,
3/31/2016,1004.774,,
4/1/2016,1641.605,,
4/2/2016,6574.752,,
4/3/2016,7274.163,,
4/4/2016,969.766,,
4/5/2016,1361.944,,
4/6/2016,2537.219,,
4/7/2016,1986.018,,
4/8/2016,1885.253,,
4/9/2016,5562.22,,
4/10/2016,5815.876,,
4/11/2016,1214.13,,
4/12/2016,1750.514,,
4/13/2016,890.625,,
4/14/2016,2239.849,,
4/15/2016,1367.217,,
4/16/2016,4812.059,,
4/17/2016,6199.364,,
4/18/2016,1748.644,,
4/19/2016,1375.691,,
4/20/2016,681.346,,
4/21/2016,1125.666,,
4/22/2016,2088.209,,
4/23/2016,5604.964,,
4/24/2016,4216.482,,
4/25/2016,1314.215,,
4/26/2016,1087.062,,
4/27/2016,962.325,,
4/28/2016,1019.383,,
4/29/2016,759.473,,
4/30/2016,6525.819,,
5/1/2016,5108.044,,
5/2/2016,814.178,,
5/3/2016,1595.424,,
5/4/2016,721.398,,
5/5/2016,1890.746,,
5/6/2016,1965.632,,
5/7/2016,4281.75,,
5/8/2016,4536.548,,
5/9/2016,803.082,,
5/10/2016,577.894,,
5/11/2016,609.833,,
5/12/2016,-102.096,,
5/13/2016,857.358,,
5/14/2016,4033.504,,
5/15/2016,6188.071,,
5/16/2016,734.034,,
5/17/2016,403.744,,
5/18/2016,1270.224,,
5/19/2016,1135.178,,
5/20/2016,795.278,,
5/21/2016,5593.12,,
5/22/2016,3648.291,,
5/23/2016,527.595,,
5/24/2016,511.253,,
5/25/2016,787.349,,
5/26/2016,856.299,,
5/27/2016,1007.293,,
5/28/2016,3849.127,,
5/29/2016,4924.442,,
5/30/2016,983.115,,
5/31/2016,643.25,,
6/1/2016,1164.93,,
6/2/2016,1480.613,,
6/3/2016,1383.869,,
6/4/2016,4501.496,,
6/5/2016,6128.652,,
6/6/2016,831.09,,
6/7/2016,1552.442,,
