Date,Profit,,
1/2/2016,45295.6412,,
1/3/2016,38449.5288,,
1/4/2016,3650.2012,,
1/5/2016,11338.1156,,
1/6/2016,18663.4464,,
1/7/2016,26187.16,,
1/8/2016,20707.3888,,
1/9/2016,54196.75,,
1/10/2016,54168.308,,
1/11/2016,14588.7864,,
1/12/2016,13783.0224,,
1/13/2016,15056.7304,,
1/14/2016,16519.9848,,
1/15/2016,15812.9328,,
1/16/2016,61123.8876,,
1/17/2016,52875.8352,,
1/18/2016,15412.4904,,
1/19/2016,12816.6468,,
1/20/2016,16403.8084,,
1/21/2016,19916.6828,,
1/22/2016,19569.1708,,
1/23/2016,44793.3068,,
1/24/2016,40632.878,,
1/25/2016,15336.2316,,
1/26/2016,12009.21,,
1/27/2016,14444.646,,
1/28/2016,14367.3776,,
1/29/2016,11853.7328,,
1/30/2016,68623.9168,,
1/31/2016,67710.2924,,
2/1/2016,17277.94,,
2/2/2016,17051.2628,,
2/3/2016,12881.1184,,
2/4/2016,25487.5092,,
2/5/2016,23054.4844,,
2/6/2016,81824.7884,,
2/7/2016,75817.2004,,
2/8/2016,19834.762,,
2/9/2016,16983.8408,,
2/10/2016,18682.2024,,
2/11/2016,24412.0984,,
2/12/2016,25284.6404,,
2/13/2016,82537.4356,,
2/14/2016,74591.2416,,
2/15/2016,16583.284,,
2/16/2016,18289.992,,
2/17/2016,20828.0004,,
2/18/2016,29586.8876,,
2/19/2016,23965.3656,,
2/20/2016,77611.138,,
2/21/2016,63672.6932,,
2/22/2016,17844.7848,,
2/23/2016,20968.8568,,
2/24/2016,14580.8064,,
2/25/2016,18148.4956,,
2/26/2016,23106.0028,,
2/27/2016,58784.3208,,
2/28/2016,69315.2648,,
2/29/2016,20162.7548,,
3/1/2016,15587.6872,,
3/2/2016,17838.7656,,
3/3/2016,21443.6048,,
3/4/2016,22590.57,,
3/5/2016,72812.4548,,
3/6/2016,67751.8148,,
3/7/2016,15820.0848,,
3/8/2016,19765.222,,
3/9/2016,20109.7244,,
3/10/2016,17847.7744,,
3/11/2016,27758.6348,,
3/12/2016,74702.1332,,
3/13/2016,57729.2788,,
3/14/2016,21585.3008,,
3/15/2016,13147.6236,,
3/16/2016,20114.8148,,
3/17/2016,26067.7156,,
3/18/2016,24931.4376,,
3/19/2016,54241.9532,,
3/20/2016,53332.5928,,
3/21/2016,10857.3796,,
3/22/2016,15884.5696,,
3/23/2016,12600.4248,,
3/24/2016,18714.9308,,
3/25/2016,17331.1524,,
3/26/2016,57679.0988,,
3/27/2016,59266.052,,
3/28/2016,14180.8956,,
3/29/2016,14681.5624,,
3/30/2016,11708.3876,,
3/31/2016,16681.1428,,
4/1/2016,18966.134,,
4/2/2016,72711.9132,,
4/3/2016,64296.4292,,
4/4/2016,15728.4912,,
4/5/2016,15573.0488,,
4/6/2016,14018.0076,,
4/7/2016,21477.3044,,
4/8/2016,24915.1684,,
4/9/2016,66635.8192,,
4/10/2016,63470.1044,,
4/11/2016,15335.7444,,
4/12/2016,16828.864,,
4/13/2016,17776.3508,,
4/14/2016,21781.512,,
4/15/2016,22299.7916,,
4/16/2016,71095.3816,,
4/17/2016,63411.3108,,
4/18/2016,16629.6792,,
4/19/2016,15703.0216,,
4/20/2016,16079.6252,,
4/21/2016,16441.064,,
4/22/2016,13696.6248,,
4/23/2016,58510.4968,,
4/24/2016,50735.7684,,
4/25/2016,10513.2572,,
4/26/2016,13261.7824,,
4/27/2016,11395.6188,,
4/28/2016,16835.1024,,
4/29/2016,14386.5744,,
4/30/2016,85626.4308,,
5/1/2016,91546.6416,,
5/2/2016,18966.2304,,
5/3/2016,21740.8012,,
5/4/2016,20132.6252,,
5/5/2016,31027.1908,,
5/6/2016,34469.7512,,
5/7/2016,86309.5872,,
5/8/2016,83170.644,,
5/9/2016,23420.2828,,
5/10/2016,18001.0236,,
5/11/2016,15762.9156,,
5/12/2016,24200.2612,,
5/13/2016,29365.1816,,
5/14/2016,93539.2688,,
5/15/2016,79030.8432,,
5/16/2016,21851.3564,,
5/17/2016,21290.8844,,
5/18/2016,16096.9888,,
5/19/2016,26931.8648,,
5/20/2016,26480.9972,,
5/21/2016,93783.328,,
5/22/2016,89651.458,,
5/23/2016,19367.2456,,
5/24/2016,15879.878,,
5/25/2016,22963.1156,,
5/26/2016,26031.5888,,
5/27/2016,31119.3736,,
5/28/2016,84837.1704,,
5/29/2016,76751.1544,,
5/30/2016,21584.568,,
5/31/2016,17469.1928,,
6/1/2016,16965.7948,,
6/2/2016,23708.9316,,
6/3/2016,23131.0964,,
6/4/2016,85002.7328,,
6/5/2016,87589.2428,,
6/6/2016,23875.056,,
6/7/2016,23211.4924,,
6/8/2016,28169.248,,
6/9/2016,25892.9492,,
6/10/2016,37374.6716,,
6/11/2016,89112.7228,,
6/12/2016,79251.0812,,
6/13/2016,19993.0476,,
6/14/2016,21024.978,,
6/15/2016,21885.3712,,
6/16/2016,27595.582,,
6/17/2016,26210.8244,,
6/18/2016,83341.256,,
6/19/2016,96304.0396,,
6/20/2016,20354.726,,
6/21/2016,25610.8528,,
6/22/2016,27484.5292,,
6/23/2016,26992.2396,,
6/24/2016,35066.1932,,
6/25/2016,96538.252,,
6/26/2016,89118.2376,,
6/27/2016,20636.946,,
6/28/2016,18553.1504,,
6/29/2016,19962.4312,,
6/30/2016,30934.2788,,
7/1/2016,25673.8684,,
7/2/2016,59999.5672,,
7/3/2016,53892.866,,
7/4/2016,16497.7136,,
7/5/2016,10288.8584,,
7/6/2016,9668.5784,,
7/7/2016,13552.8688,,
7/8/2016,12148.2744,,
7/9/2016,53784.344,,
7/10/2016,51747.23,,
7/11/2016,11760.23,,
7/12/2016,17664.3536,,
7/13/2016,10642.0556,,
7/14/2016,19498.0792,,
7/15/2016,23439.0204,,
7/16/2016,68564.5008,,
7/17/2016,74363.2088,,
7/18/2016,16855.6376,,
7/19/2016,14653.352,,
7/20/2016,17213.5744,,
7/21/2016,22769.9796,,
7/22/2016,27893.05,,
7/23/2016,88702.4688,,
7/24/2016,63287.804,,
7/25/2016,15590.5428,,
7/26/2016,13532.8776,,
7/27/2016,19434.0188,,
7/28/2016,22373.4808,,
7/29/2016,26687.4212,,
7/30/2016,75034.2376,,
7/31/2016,67540.8592,,
8/1/2016,16995.4536,,
8/2/2016,19244.4724,,
8/3/2016,16055.126,,
8/4/2016,22074.2356,,
8/5/2016,20012.506,,
8/6/2016,72627.2448,,
8/7/2016,65484.7636,,
8/8/2016,15755.9432,,
8/9/2016,14814.0664,,
8/10/2016,17192.3224,,
8/11/2016,18877.1416,,
8/12/2016,22709.9888,,
8/13/2016,68559.264,,
8/14/2016,55658.4012,,
8/15/2016,17349.424,,
8/16/2016,16344.1152,,
8/17/2016,15217.208,,
8/18/2016,20279.276,,
8/19/2016,13414.7008,,
8/20/2016,54382.4068,,
8/21/2016,50590.1684,,
8/22/2016,13649.0268,,
8/23/2016,12710.764,,
8/24/2016,11496.9188,,
8/25/2016,15643.7988,,
8/26/2016,15088.2316,,
8/27/2016,51334.272,,
8/28/2016,52869.4156,,
8/29/2016,12660.0572,,
8/30/2016,16064.2756,,
8/31/2016,14964.9756,,
9/1/2016,19848.7228,,
9/2/2016,17515.6116,,
9/3/2016,88982.5992,,
9/4/2016,91861.1444,,
9/5/2016,12933.556,,
9/6/2016,18867.4692,,
9/7/2016,22870.994,,
9/8/2016,28126.4264,,
9/9/2016,33655.9548,,
9/10/2016,88242.1428,,
9/11/2016,79578.2044,,
9/12/2016,21867.1768,,
9/13/2016,18047.7684,,
9/14/2016,16385.154,,
9/15/2016,27887.358,,
9/16/2016,21137.064,,
9/17/2016,103654.3244,,
9/18/2016,110241.1656,,
9/19/2016,25501.6284,,
9/20/2016,23215.7132,,
9/21/2016,31291.9692,,
9/22/2016,35884.0596,,
9/23/2016,38412.0004,,
9/24/2016,97754.234,,
9/25/2016,97740.2864,,
9/26/2016,28491.3696,,
9/27/2016,34743.806,,
9/28/2016,23461.9572,,
9/29/2016,31231.2508,,
9/30/2016,33441.616,,
10/1/2016,91569.2956,,
10/2/2016,81020.4968,,
10/3/2016,20678.774,,
10/4/2016,21300.1804,,
10/5/2016,19978.1636,,
10/6/2016,26306.6508,,
10/7/2016,22197.9684,,
10/8/2016,81093.4048,,
10/9/2016,84296.8248,,
10/10/2016,16459.4556,,
10/11/2016,19814.2196,,
10/12/2016,18089.2036,,
10/13/2016,23563.5636,,
10/14/2016,20590.298,,
10/15/2016,89315.9176,,
10/16/2016,78302.7448,,
10/17/2016,17145.786,,
10/18/2016,18321.2296,,
10/19/2016,19844.4188,,
10/20/2016,26771.6872,,
10/21/2016,24688.268,,
10/22/2016,93112.8424,,
10/23/2016,105376.988,,
10/24/2016,19733.2392,,
10/25/2016,19437.8288,,
10/26/2016,21559.104,,
10/27/2016,37183.3224,,
10/28/2016,36955.754,,
10/29/2016,104432.5804,,
10/30/2016,85839.6504,,
10/31/2016,28278.904,,
11/1/2016,25042.3672,,
11/2/2016,23069.8916,,
